LocationId,Year,White,Latino,Black,Asian,Other,%White,%Latino,%Black,%Asian,%Other,max_race
101,2014,44389.70955,4230.26445,1424.3573,9248.02442,2127.4494600000003,0.72273,0.06887,0.023190000000000002,0.15057,0.03464,White
101,2015,44366.28661,4231.87982,1400.93436,9736.6755,2160.1608100000003,0.7167899999999999,0.06837,0.02263,0.15730999999999998,0.0349,White
101,2016,44968.82165,4374.03286,1398.10745,9987.462529999999,2064.44982,0.71615,0.06966,0.022269999999999998,0.15905,0.03288,White
101,2017,45882.31646,4086.49603,1467.16475,10005.23166,2249.81415,0.72039,0.06416000000000001,0.02304,0.15709,0.03532,White
101,2018,45079.878710000005,4052.9769899999997,1381.14601,9659.13748,2275.6601600000004,0.72187,0.0649,0.022119999999999997,0.15467,0.03644,White
102,2014,65528.29045,6244.73555,2102.6427,13651.975580000002,3140.5505399999997,0.72273,0.06887,0.023190000000000002,0.15057,0.03464,White
102,2015,65493.71339,6247.12018,2068.06564,14373.3245,3188.8391899999997,0.7167899999999999,0.06837,0.02263,0.15730999999999998,0.0349,White
102,2016,66383.17835,6456.96714,2063.89255,14743.53747,3047.55018,0.71615,0.06966,0.022269999999999998,0.15905,0.03288,White
102,2017,67731.68354,6032.503970000001,2165.83525,14769.76834,3321.18585,0.72039,0.06416000000000001,0.02304,0.15709,0.03532,White
102,2018,66547.12129,5983.02301,2038.8539899999998,14258.862519999999,3359.3398399999996,0.72187,0.0649,0.022119999999999997,0.15467,0.03644,White
103,2014,53635.0,40248.0,11007.0,53054.0,5384.0,0.32839,0.24641999999999997,0.06738999999999999,0.32483,0.03296,White
103,2015,52635.0,40436.0,12686.0,52423.0,5790.0,0.321,0.24661,0.07737000000000001,0.31971,0.03531,White
103,2016,53181.0,40081.0,12644.0,49970.0,4833.0,0.33091,0.2494,0.07868,0.31093000000000004,0.03007,White
103,2017,52136.0,40040.0,11761.0,51285.0,4430.0,0.32656,0.2508,0.07367,0.32123,0.02775,White
103,2018,51603.0,38899.0,12980.0,47444.0,4069.0,0.33293,0.25096999999999997,0.08374,0.3061,0.02625,White
104,2014,60328.99427,14361.98344,5318.93224,14419.29808,3079.66243,0.6187,0.14729,0.05455,0.14787999999999998,0.031580000000000004,White
104,2015,60887.47882999999,14743.858909999999,5546.85792,15490.94863,2901.0540100000003,0.6115,0.14808,0.05571,0.15558,0.02914,White
104,2016,60642.89192,14483.943669999999,5389.575870000001,16119.41037,2871.0637899999997,0.60943,0.14556,0.05416,0.16199000000000002,0.02885,White
104,2017,60176.37737,15334.99948,6083.349639999999,16885.160669999997,2950.3712600000003,0.59328,0.15119000000000002,0.05998,0.16647,0.029089999999999998,White
104,2018,60893.476870000006,15932.1381,5382.91138,17739.548730000002,3015.6833,0.59141,0.15474000000000002,0.05227999999999999,0.17229,0.029289999999999997,White
105,2014,30194.00573,7188.016559999999,2662.0677600000004,7216.70192,1541.33757,0.6187,0.14729,0.05455,0.14787999999999998,0.031580000000000004,White
105,2015,30473.52117,7379.141090000001,2776.14208,7753.05137,1451.94599,0.6115,0.14808,0.05571,0.15558,0.02914,White
105,2016,30351.10808,7249.056329999999,2697.42413,8067.5896299999995,1436.93621,0.60943,0.14556,0.05416,0.16199000000000002,0.02885,White
105,2017,30117.62263,7675.0005200000005,3044.65036,8450.839329999999,1476.62874,0.59328,0.15119000000000002,0.05998,0.16647,0.029089999999999998,White
105,2018,30476.52313,7973.8619,2694.08862,8878.45127,1509.3167,0.59141,0.15474000000000002,0.05227999999999999,0.17229,0.029289999999999997,White
106,2014,102396.0,12448.0,5142.0,21461.0,4222.0,0.70294,0.08545,0.0353,0.14733,0.028980000000000002,White
106,2015,102883.0,12094.0,4980.0,22877.0,3634.0,0.70243,0.08257,0.034,0.15619,0.02481,White
106,2016,101877.0,12804.0,4739.0,23177.0,4153.0,0.69422,0.08725,0.03229,0.15794,0.0283,White
106,2017,102255.0,13433.0,4941.0,23618.0,4555.0,0.68719,0.09027,0.03321,0.15872,0.030610000000000002,White
106,2018,102427.0,10710.0,5004.0,24384.0,4390.0,0.69719,0.0729,0.03406,0.16597,0.02988,White
107,2014,134449.0,27804.0,12507.0,16452.0,5186.0,0.68457,0.14157,0.06368,0.08377000000000001,0.026410000000000003,White
