,Location,Year,Fips,poverty_pct,unemployment_rt,median_income,limited_english_pct
48,Brownsville,2017,316,0.39899999999999997,0.207,21123.63158,0.07727
49,Brownsville,2014,316,0.3859,0.107,27304.08699,0.081
50,Brownsville,2013,316,0.35325,0.15715,30705.91095,0.07200000000000001
51,Brownsville,2018,316,0.27839,0.064,33035.88967,0.08274
52,Brownsville,2015,316,0.34979,0.138,29201.681,0.067
53,Brownsville,2016,316,0.332,0.14,32181.48132,0.07
54,Bushwick,2013,304,0.25032,0.15244000000000002,47657.75474,0.184
55,Bushwick,2018,304,0.24006,0.038,54327.78935,0.14574
56,Bushwick,2016,304,0.287,0.07400000000000001,51595.62818,0.163
57,Bushwick,2017,304,0.271,0.052000000000000005,52830.98061,0.18961
58,Bushwick,2014,304,0.27073,0.135,43761.77433,0.195
59,Bushwick,2015,304,0.29101,0.085,46609.81513,0.168
60,Canarsie,2017,318,0.08900000000000001,0.053,79937.93767,0.04877
61,Canarsie,2014,318,0.1293,0.084,67117.09733,0.084
62,Canarsie,2015,318,0.12379000000000001,0.062,74559.73345,0.073
63,Canarsie,2016,318,0.091,0.068,80318.93463,0.064
64,Canarsie,2018,318,0.09614,0.048,74323.62493,0.05322
65,Canarsie,2013,318,0.11767999999999999,0.09377,72862.91825,0.07400000000000001
66,Central Harlem,2015,110,0.24086999999999997,0.11599999999999999,49685.26655,0.07200000000000001
67,Central Harlem,2013,110,0.31331,0.10718,40581.75328,0.061
68,Central Harlem,2018,110,0.25119,0.053,48572.36885,0.04186
69,Central Harlem,2017,110,0.235,0.08199999999999999,51165.41136,0.06909
70,Central Harlem,2016,110,0.272,0.081,48627.52122,0.068
71,Central Harlem,2014,110,0.29239,0.13,43848.25151,0.07400000000000001
72,Chelsea/Clinton,2013,104,0.13691,0.0645,110625.0438,0.062
73,Chelsea/Clinton,2014,104,0.13027,0.051,106540.96038,0.068
74,Chelsea/Clinton,2018,104,0.11104000000000001,0.053,102911.35749,0.0734
75,Chelsea/Clinton,2015,104,0.13225,0.048,110366.62081,0.065
76,Chelsea/Clinton,2016,104,0.127,0.033,108187.81834,0.075
77,Chelsea/Clinton,2017,104,0.138,0.048,106359.6856,0.08922000000000001
