,PUMA,Year,severe_burden_pct
310,4111,2017,0.2682328571428571
311,4111,2018,0.2769871428571428
312,4112,2013,0.30096
313,4112,2014,0.34297
314,4112,2015,0.285082
315,4112,2016,0.297828
316,4112,2017,0.269858
317,4112,2018,0.28342999999999996
318,4113,2013,0.28779599999999994
319,4113,2014,0.330966
320,4113,2015,0.294672
321,4113,2016,0.30340599999999995
322,4113,2017,0.28761800000000004
323,4113,2018,0.27777799999999997
324,4114,2013,0.31203000000000003
325,4114,2014,0.31119
326,4114,2015,0.26957
327,4114,2016,0.26952
328,4114,2017,0.23884
329,4114,2018,0.16409
