CD,Year,Total Number NYPD Complaints,Complaints normalized by population
212,2015,9492,0.062306359
212,2016,10596,0.069553117
212,2017,10438,0.06851599
301,2013,10451,0.060381436
301,2014,10579,0.061120965
301,2015,10517,0.060762755
301,2016,10296,0.059485911
301,2017,10569,0.061063189
302,2013,10224,0.102633085
302,2014,10114,0.101528856
302,2015,9458,0.094943634
302,2016,9816,0.098537398
302,2017,9792,0.098296476
303,2013,14584,0.095329607
303,2014,13710,0.089616629
303,2015,12258,0.080125503
303,2016,12039,0.07869399
303,2017,11957,0.078157989
304,2013,7418,0.065859332
304,2014,7066,0.062734166
304,2015,6711,0.059582364
304,2016,6812,0.060479074
304,2017,6880,0.061082799
305,2013,16848,0.092117925
305,2014,17510,0.095737468
305,2015,16058,0.08779853
305,2016,14995,0.081986484
305,2017,14929,0.081625623
306,2013,5109,0.048792367
306,2014,5191,0.04957549
306,2015,5063,0.048353055
306,2016,5244,0.050081655
306,2017,4989,0.047646334
307,2013,5480,0.043412818
307,2014,5427,0.042992949
307,2015,5409,0.042850353
307,2016,5316,0.042113602
307,2017,5388,0.04268399
308,2013,8546,0.088727847
308,2014,8274,0.085903838
308,2015,7225,0.075012718
308,2016,7157,0.074306716
308,2017,6925,0.071898003
309,2013,6712,0.068191285
309,2014,6834,0.069430757
309,2015,6773,0.068811021
309,2016,6589,0.066941653
309,2017,6107,0.062044723
310,2013,5148,0.041352387
310,2014,4753,0.038179467
310,2015,4893,0.039304046
310,2016,5178,0.041593368
310,2017,4977,0.039978794
311,2013,5665,0.031129623
311,2014,5961,0.032756167
311,2015,5875,0.03228359
311,2016,5488,0.030156994
311,2017,5345,0.029371198
312,2013,4543,0.023737865
312,2014,4275,0.022337524
312,2015,4445,0.0232258
312,2016,4240,0.022154644
312,2017,3897,0.020362417
313,2013,6052,0.05803717
313,2014,6199,0.059446863
313,2015,6342,0.060818198
313,2016,5805,0.055668502
313,2017,5676,0.054431424
314,2013,7738,0.048162625
314,2014,7709,0.047982124
314,2015,7518,0.046793308
314,2016,7393,0.046015287
314,2017,7186,0.044726883
315,2013,5688,0.035627936
315,2014,5838,0.036567491
315,2015,5498,0.034437833
315,2016,5255,0.032915753
315,2017,5458,0.034187285
316,2013,10084,0.116621178
316,2014,9642,0.11150946
316,2015,9325,0.107843364
316,2016,9050,0.104662997
316,2017,8657,0.100117963
317,2013,9020,0.058099091
317,2014,9501,0.061197279
317,2015,9294,0.059863963
317,2016,9523,0.061338984
317,2017,8907,0.057371242
318,2013,9831,0.050794914
318,2014,9644,0.04982872
318,2015,9717,0.050205897
318,2016,9607,0.049637548
318,2017,9093,0.046981808
401,2013,10362,0.054221501
401,2014,10858,0.056816933
401,2015,10135,0.053033673
401,2016,10668,0.055822715
401,2017,9849,0.051537113
402,2013,5490,0.048498233
402,2014,5174,0.045706714
402,2015,4715,0.041651943
402,2016,4420,0.039045936
402,2017,4725,0.041740283
403,2013,8711,0.050770504
403,2014,8947,0.052145988
403,2015,7953,0.046352637
403,2016,8212,0.047862172
403,2017,8606,0.05015853
404,2013,6174,0.035770982
404,2014,6262,0.036280838
404,2015,5776,0.033465046
404,2016,5696,0.033001541
404,2017,5457,0.031616821
405,2013,7298,0.043134937
405,2014,7012,0.04144453
405,2015,6001,0.035468999
405,2016,6111,0.036119156
405,2017,6184,0.036550624
406,2013,3632,0.032068658
406,2014,3599,0.031777285
406,2015,3294,0.029084295
406,2016,3149,0.027804021
406,2017,3153,0.027839339
407,2013,7941,0.032103786
407,2014,7992,0.032309969
407,2015,7757,0.031359913
407,2016,8185,0.033090227
407,2017,8378,0.033870485
408,2013,5382,0.035617145
408,2014,4981,0.032963397
408,2015,4906,0.03246706
408,2016,4877,0.032275143
408,2017,5055,0.033453116
409,2013,6765,0.047203053
409,2014,6322,0.044112003
409,2015,5959,0.041579157
409,2016,5755,0.040155739
409,2017,4983,0.034769078
410,2013,5994,0.048972189
410,2014,6059,0.049503252
410,2015,5748,0.046962319
410,2016,5710,0.046651851
410,2017,5647,0.046137129
411,2013,3125,0.026839931
411,2014,2858,0.024546727
411,2015,2771,0.023799504
411,2016,2903,0.024933222
411,2017,2608,0.022399533
412,2013,17077,0.075589039
412,2014,16763,0.07419916
412,2015,16238,0.071875318
412,2016,15068,0.066696471
412,2017,13763,0.060920064
413,2013,7253,0.038458479
413,2014,7202,0.038188056
413,2015,7483,0.039678037
413,2016,7196,0.038156241
413,2017,6874,0.036448861
414,2013,6712,0.058376385
414,2014,7341,0.063846997
414,2015,7130,0.062011863
414,2016,7530,0.06549079
414,2017,7087,0.061637879
501,2013,11860,0.067479915
501,2014,12179,0.069294932
501,2015,12034,0.068469924
501,2016,11973,0.068122852
501,2017,11614,0.066080248
502,2013,6101,0.046218647
502,2014,6062,0.045923199
502,2015,5784,0.043817186
502,2016,5618,0.042559639
502,2017,5553,0.042067226
503,2013,4728,0.029511451
503,2014,4519,0.028206905
503,2015,4337,0.027070889
503,2016,4156,0.025941114
503,2017,4090,0.025529153
