boro_cd,year,Total Number HPD Complaints,Normalized complaints by population
301,2013,12,6.93309E-05
301,2014,3097,0.01789315
301,2015,6246,0.036086733
301,2016,5520,0.031892214
301,2017,7394,0.042719389
302,2013,1,1.00384E-05
302,2014,822,0.008251604
302,2015,2621,0.02631077
302,2016,1435,0.014405172
302,2017,1684,0.016904745
303,2013,46,0.000300683
303,2014,7154,0.046762755
303,2015,14261,0.093218289
303,2016,12004,0.078465209
303,2017,13133,0.085845017
304,2013,6,5.32699E-05
304,2014,1350,0.011985724
304,2015,2723,0.024175649
304,2016,2466,0.021893922
304,2017,2696,0.023935934
305,2013,17,9.2949E-05
305,2014,4441,0.024281559
305,2015,9563,0.052286545
305,2016,8685,0.047486003
305,2017,9109,0.04980426
306,2013,11,0.000105053
306,2014,1460,0.013943405
306,2015,2768,0.026435168
306,2016,2277,0.021745982
306,2017,2791,0.026654824
307,2013,42,0.000332726
307,2014,1687,0.013364493
307,2015,3899,0.030888061
307,2016,3759,0.029778975
307,2017,3388,0.026839895
308,2013,64,0.000664473
308,2014,4781,0.049638174
308,2015,9726,0.100979059
308,2016,8248,0.085633896
308,2017,9092,0.094396628
309,2013,42,0.000426704
309,2014,3439,0.03493889
309,2015,6664,0.067703624
309,2016,6317,0.06417824
309,2017,6942,0.070527995
310,2013,4,3.21308E-05
310,2014,1384,0.01111727
310,2015,3349,0.026901543
310,2016,2318,0.01861982
310,2017,3070,0.024660417
311,2013,68,0.000373665
311,2014,2944,0.016177513
311,2015,6428,0.035322369
311,2016,5422,0.029794319
311,2017,5738,0.031530764
312,2013,24,0.000125404
312,2014,3720,0.019437565
312,2015,7603,0.039726829
312,2016,6785,0.035452655
312,2017,7134,0.037276233
313,2013,2,1.91795E-05
313,2014,440,0.00421949
313,2015,1215,0.011651547
313,2016,1007,0.009656879
313,2017,883,0.00846775
314,2013,63,0.000392123
314,2014,5601,0.034861574
314,2015,11199,0.069704476
314,2016,9912,0.06169397
314,2017,12079,0.075181746
315,2013,35,0.00021923
315,2014,2444,0.015308487
315,2015,5024,0.031468838
315,2016,4788,0.029990604
315,2017,4635,0.029032258
316,2013,18,0.000208169
316,2014,3180,0.036776611
316,2015,5989,0.069262617
316,2016,5161,0.059686821
316,2017,5600,0.064763843
317,2013,49,0.000315616
317,2014,2078,0.013384691
317,2015,4278,0.027555201
317,2016,3650,0.023510164
317,2017,4586,0.029539072
318,2013,11,5.68349E-05
318,2014,2882,0.014890748
318,2015,5894,0.030453181
318,2016,5767,0.029796996
318,2017,5984,0.030918194
401,2013,42,0.000219774
401,2014,2198,0.011501531
401,2015,4489,0.023489705
401,2016,3473,0.018173256
401,2017,3896,0.020386698
402,2013,36,0.000318021
402,2014,1968,0.017385159
402,2015,4072,0.035971731
402,2016,3212,0.028374558
402,2017,3621,0.031987633
403,2013,11,6.41115E-05
403,2014,1053,0.006137222
403,2015,2316,0.013498391
403,2016,1839,0.010718282
403,2017,2343,0.013655756
404,2013,26,0.000150639
404,2014,2150,0.012456691
404,2015,4971,0.028801029
404,2016,5167,0.029936616
404,2017,6264,0.036292425
405,2013,21,0.000124121
405,2014,1472,0.008700278
405,2015,2822,0.016679473
405,2016,2603,0.01538507
405,2017,2858,0.016892251
406,2013,58,0.00051211
406,2014,1773,0.015654662
406,2015,3128,0.027618602
406,2016,2356,0.020802246
406,2017,2347,0.020722781
407,2013,15,6.06418E-05
407,2014,1596,0.006452291
407,2015,3604,0.014570211
407,2016,3357,0.013571642
407,2017,3655,0.014776393
408,2013,23,0.00015221
