,CensusTractNumber,White (% of total population),Married With Children (% of households),Nonfamily Households with Children Under 18 (% of all households),Median Household Income ($),Completed High School or High School and Some College (% of adults 25+),Unemployed (% ages 16 and older),Housing Units Occupied by Renters (%),U.S.-Born (% of total population),Elderly Population (% 65+)
67,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
68,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
69,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
70,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
71,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
72,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
73,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
74,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
75,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
76,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
77,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
78,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
79,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
80,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
81,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
